Role,Positive_Keys_Functional,Negative_Keys_Functional,Positive_Keys_Soft,Negative_Keys_Soft,,Evaluate
product_manager,project_management,willing_to,excellent_communication_skills,bachelor_of,,cd
backend_engineer,continuous_integration,the_date_of,distributed_systems,best_jobs_for,,Y
hadoop_architect1,high_throughput,sign_out_after,organizational_skills,all_rights_reserved,,Y
software_engineer,cloud_computing,make_a_difference,strong_analytical,indeed_com,,Y
software_engineering_manager,team_members,protected_veteran_status,scrum_teams,,,Y
technical_architect,data_modelling,willing_to,customer_satisfaction,hear_from_you,,Y
agile_project_manager,pmp_certification,please_call,problem_solving,should_be,,Y
data_architect,database_structures,follow_us_on,strong_verbal,follow_us_on,,Y
data_scientist,na,na,na,na,,N
database_administrator,na,na,na,na,,N
devops_manager,na,na,na,na,,N
full_stack_developer,na,na,na,na,,N
marketing_manager,na,na,na,na,,N
mobile_developer,na,na,na,na,,N
software_developer,na,na,na,na,,N
oftware_engineering_manager,na,na,na,na,,N
systems_administrator,na,na,na,na,,N
systems_enginee,na,na,na,na,,N
technical_lead,na,na,na,na,,N
ux_designer,na,na,na,na,,N
